Fan,FanHours,Refrigerator,RefrigeratorHours,AirConditioner,AirConditionerHours,Television,TelevisionHours,Monitor,MonitorHours,MotorPump,MotorPumpHours,Month,City,UnitsConsumed,ElectricityBill
4,15,0,0,3,4,1,2,1,7,1,1,4,Noida,711.9,4476.51
1,16,1,24,1,9,2,8,1,0,1,3,12,Chennai,664.5,2037.0
6,9,1,24,1,0,0,0,1,1,0,0,1,Ahmedabad,230.7,920.47
2,11,2,24,0,0,1,0,2,1,0,0,5,Dahej,267.9,1095.58
3,10,1,24,2,6,2,6,3,10,0,0,5,Shimla,787.5,4025.25
8,16,0,0,2,6,2,7,1,0,1,1,1,Mumbai,892.5,10416.0
0,0,0,0,2,3,2,6,0,0,1,1,9,Shimla,328.5,922.41
2,16,2,24,2,8,2,8,0,0,1,1,7,Gurgaon,1078.5,6589.85
7,13,2,24,1,7,0,0,2,5,1,3,1,Faridabad,815.25,4720.77
2,6,0,0,2,9,1,7,2,10,0,0,2,Gurgaon,882.0,5194.7
1,12,1,24,0,0,2,3,2,7,1,3,5,Ahmedabad,237.3,948.53
7,6,0,0,0,0,0,0,0,0,1,1,9,Nagpur,117.0,599.25
6,13,2,24,0,0,3,0,1,9,1,3,9,Noida,469.8,2828.7
8,3,0,0,1,9,3,4,3,9,0,0,11,Shimla,527.4,2266.97
5,13,1,24,2,8,3,2,1,10,1,0,12,Mumbai,1004.25,11891.1
4,1,2,24,0,0,3,8,0,0,1,3,9,Ratnagiri,364.5,3365.1
0,0,1,24,2,6,1,2,0,0,1,0,9,Faridabad,654.0,3575.9
4,0,0,0,1,2,3,2,1,0,1,0,5,Noida,108.0,594.0
7,12,2,24,1,7,1,2,2,0,0,0,3,Dahej,726.0,3477.7
2,5,0,0,0,0,2,0,3,6,0,0,2,Navi Mumbai,44.1,187.43
8,7,1,24,3,9,1,5,2,6,0,0,4,Dahej,1478.4,7390.18
7,11,1,24,3,1,2,0,3,4,0,0,11,Chennai,430.65,841.95
8,1,0,0,1,10,0,0,1,9,0,0,5,Noida,478.8,2887.2
8,10,2,24,1,10,1,1,3,1,1,0,1,Nagpur,852.6,9889.32
4,2,1,24,0,0,2,1,1,1,0,0,12,Ahmedabad,133.2,506.1
1,13,0,0,2,9,1,8,1,3,0,0,10,Nagpur,866.85,10077.42
0,0,0,0,2,2,0,0,3,0,0,0,7,Ratnagiri,180.0,1245.0
5,11,1,24,0,0,3,4,2,10,1,1,8,New Delhi,314.25,1114.12
5,7,0,0,0,0,3,8,1,8,1,0,11,Shimla,160.35,147.41
6,16,1,24,2,1,3,2,0,0,0,0,4,Shimla,432.0,1622.07
7,13,0,0,2,9,1,7,0,0,1,1,7,Chennai,1058.25,4399.5
6,6,0,0,3,3,2,4,3,5,1,1,3,Navi Mumbai,550.5,5901.6
6,0,1,24,1,10,1,5,2,9,1,3,1,Hyderabad,662.1,4468.9
3,5,0,0,0,0,2,3,1,6,1,2,7,Kolkata,103.95,473.7
3,3,0,0,1,10,3,2,1,0,1,0,12,Nagpur,488.25,5072.85
2,12,0,0,0,0,2,5,1,8,1,1,7,Noida,116.1,638.55
7,12,1,24,0,0,1,4,3,10,0,0,7,Chennai,345.0,585.0
2,14,1,24,2,7,2,1,0,0,0,0,5,Pune,807.0,9287.4
5,7,2,24,3,2,0,0,2,5,0,0,2,Gurgaon,576.75,3027.43
7,5,0,0,1,5,2,0,2,6,1,2,5,Pune,363.15,3346.47
1,8,2,24,2,1,0,0,3,4,0,0,2,Noida,338.4,1974.6
4,6,1,24,1,6,2,5,3,6,1,0,9,Dahej,483.6,2217.22
2,5,1,24,2,7,0,0,3,0,1,2,8,Ahmedabad,805.5,3891.1
5,14,0,0,1,7,0,0,3,2,0,0,2,Noida,479.7,2893.05
3,16,2,24,1,1,0,0,0,0,0,0,2,Pune,369.0,3427.2
2,10,1,24,3,8,3,5,0,0,0,0,11,Shimla,1278.0,7341.03
0,0,2,24,0,0,2,7,3,6,1,0,3,Faridabad,279.6,1085.4
3,4,1,24,0,0,2,3,3,0,1,0,1,Vadodara,153.0,590.25
4,2,2,24,3,8,1,2,2,2,1,2,11,Vadodara,1369.8,6825.46
3,8,0,0,0,0,2,0,0,0,0,0,12,Faridabad,54.0,121.8
8,6,2,24,2,8,0,0,0,0,0,0,12,Mumbai,1044.0,12415.8
6,16,2,24,3,2,0,0,3,7,1,1,8,New Delhi,749.7,3847.9
0,0,2,24,1,7,1,5,1,6,0,0,7,Gurgaon,553.2,2860.22
6,15,0,0,2,4,1,0,2,3,1,0,2,Noida,569.7,3502.45
8,10,0,0,3,9,3,7,1,8,1,2,9,Noida,1512.6,9961.31
5,10,0,0,1,3,3,2,3,10,0,0,12,Kolkata,301.5,1661.25
6,7,2,24,0,0,1,1,1,1,0,0,4,New Delhi,314.7,1116.15
0,0,1,24,2,9,3,4,0,0,0,0,7,New Delhi,954.0,5432.0
6,11,2,24,3,6,2,2,2,6,0,0,9,New Delhi,1200.9,7407.2
6,12,2,24,2,1,1,7,2,8,0,0,6,Navi Mumbai,508.2,5343.24
8,13,2,24,0,0,2,2,0,0,1,0,7,Ahmedabad,462.0,2104.9
6,6,0,0,3,9,1,5,1,2,1,2,9,Ahmedabad,1358.4,6766.18
1,6,2,24,2,8,0,0,2,7,0,0,1,Vadodara,966.3,4727.26
2,5,0,0,1,7,1,7,3,2,0,0,9,Gurgaon,365.7,1616.26
7,12,2,24,0,0,1,2,3,10,1,0,11,Faridabad,447.0,2140.65
5,6,1,24,3,1,0,0,2,5,1,0,2,Gurgaon,322.5,1337.62
2,6,2,24,0,0,1,7,1,10,0,0,3,Faridabad,276.0,1066.5
7,9,2,24,3,5,0,0,2,5,0,0,1,Pune,1044.75,12425.7
6,7,1,24,0,0,3,8,1,4,1,0,8,Shimla,279.3,643.43
2,14,0,0,1,4,0,0,2,4,1,3,7,Noida,320.1,1855.65
7,0,1,24,0,0,0,0,0,0,1,0,5,Navi Mumbai,108.0,507.0
3,2,1,24,3,7,3,7,0,0,0,0,9,Pune,1129.5,13544.4
1,11,1,24,2,7,2,5,2,5,0,0,1,Mumbai,804.75,9257.7
5,16,1,24,1,3,1,6,0,0,0,0,3,Kolkata,441.0,2707.5
6,11,1,24,0,0,3,4,2,0,1,0,8,Shimla,292.5,698.48
1,13,1,24,1,1,1,4,1,9,0,0,12,Dahej,205.05,811.46
8,10,0,0,2,9,3,7,0,0,1,0,2,Chennai,1053.0,4368.0
0,0,1,24,3,1,0,0,2,0,1,1,3,Nagpur,265.5,2121.38
1,4,2,24,1,1,1,0,2,5,1,0,5,Faridabad,282.0,1098.0
8,14,1,24,3,3,1,8,1,1,1,2,1,Shimla,835.2,4347.7
5,7,0,0,3,0,3,2,1,9,1,3,10,Noida,175.05,975.3
0,0,2,24,0,0,2,6,2,2,0,0,9,Kolkata,256.8,1390.8
1,3,1,24,2,9,2,8,0,0,0,0,9,Shimla,972.75,5277.54
0,0,2,24,2,2,1,4,0,0,1,0,11,Ahmedabad,408.0,1824.1
0,0,0,0,0,0,3,2,0,0,1,1,7,Vadodara,40.5,123.52
0,0,0,0,2,3,1,0,1,5,1,0,8,Ahmedabad,276.0,1137.7
5,8,2,24,1,3,2,7,2,1,0,0,10,Hyderabad,485.4,2878.6
3,15,2,24,1,9,1,4,3,0,1,3,6,New Delhi,801.75,4214.0
0,0,1,24,1,2,3,3,2,5,1,1,7,Chennai,259.5,328.5
0,0,1,24,3,8,1,3,0,0,1,3,6,Navi Mumbai,1264.5,15326.4
0,0,0,0,0,0,1,2,2,9,1,1,3,Nagpur,50.1,212.93
1,12,2,24,0,0,3,8,1,1,0,0,5,Pune,316.2,2698.56
6,1,0,0,0,0,3,8,0,0,0,0,1,Ratnagiri,85.5,363.38
8,9,0,0,0,0,2,8,3,0,1,1,6,Shimla,232.5,448.27
2,12,1,24,0,0,3,5,3,10,0,0,5,Shimla,243.0,492.06
2,8,1,24,1,9,0,0,0,0,1,1,3,Vadodara,571.5,2674.3
8,8,0,0,2,3,2,4,0,0,0,0,3,Navi Mumbai,438.0,4379.4
0,0,1,24,2,5,0,0,3,7,1,1,9,Vadodara,605.7,2852.14
5,9,0,0,2,8,2,4,3,3,1,0,9,Gurgaon,856.05,5010.45
8,7,0,0,3,0,1,6,3,5,0,0,4,Dahej,162.0,628.5
0,0,2,24,0,0,0,0,0,0,0,0,5,Navi Mumbai,216.0,1614.0
2,6,1,24,0,0,2,6,3,2,1,0,5,New Delhi,178.2,534.6
3,6,2,24,0,0,1,7,2,5,1,0,12,Ratnagiri,289.5,2367.38
6,7,2,24,2,2,2,5,0,0,0,0,8,Faridabad,520.5,2628.05
4,2,0,0,3,4,0,0,2,9,0,0,5,Navi Mumbai,579.6,6285.72
7,13,0,0,0,0,2,5,3,1,0,0,6,Navi Mumbai,238.35,1843.09
4,11,0,0,0,0,0,0,0,0,1,2,8,Navi Mumbai,144.0,876.0
7,9,1,24,2,4,3,2,0,0,0,0,4,Vadodara,627.75,2966.8
1,2,1,24,0,0,0,0,2,3,1,1,9,Vadodara,142.2,544.35
5,16,0,0,3,3,2,7,3,3,1,1,4,Nagpur,660.3,7350.96
3,0,2,24,1,6,3,7,1,3,0,0,5,New Delhi,552.6,2491.9
6,11,2,24,0,0,0,0,3,4,1,1,9,Mumbai,401.4,3874.32
8,12,1,24,3,4,2,3,0,0,1,0,7,Gurgaon,882.0,5194.7
5,11,1,24,2,2,0,0,0,0,0,0,6,Nagpur,411.75,4017.15
6,13,0,0,1,4,2,1,0,0,0,0,1,Dahej,361.5,1582.3
7,3,2,24,2,9,0,0,1,9,1,2,8,Noida,1129.05,7333.99
6,11,1,24,1,2,3,4,0,0,0,0,7,Kolkata,382.5,2268.75
1,1,2,24,0,0,1,0,1,5,1,2,10,Nagpur,269.25,2159.81
7,16,2,24,0,0,0,0,3,4,1,2,9,Chennai,527.4,1214.4
2,5,0,0,2,8,0,0,2,3,1,2,2,Shimla,794.7,4073.92
1,10,1,24,0,0,2,0,2,5,1,0,3,Faridabad,142.5,382.88
3,6,0,0,1,8,1,2,2,1,0,0,1,Pune,408.9,3977.82
5,11,2,24,0,0,2,7,0,0,1,2,8,Pune,426.75,4224.15
5,0,2,24,2,7,3,1,1,1,1,1,8,Pune,878.7,10233.84
4,16,2,24,1,10,1,4,1,5,1,3,1,Navi Mumbai,895.5,10455.6
6,11,0,0,2,9,2,8,0,0,1,0,7,Mumbai,1006.5,11920.8
6,7,1,24,0,0,2,4,3,8,0,0,9,Faridabad,255.3,957.83
0,0,0,0,2,1,0,0,1,8,0,0,11,Chennai,99.6,0.0
0,0,2,24,0,0,2,5,0,0,1,0,2,Vadodara,246.0,985.5
5,5,1,24,0,0,0,0,3,3,0,0,2,Vadodara,175.05,683.96
0,0,0,0,3,6,3,5,2,10,0,0,3,Nagpur,879.0,10237.8
0,0,2,24,3,9,1,7,3,10,0,0,9,Hyderabad,1488.0,11902.0
5,8,2,24,1,9,3,6,1,2,1,0,8,Gurgaon,767.4,4381.04
6,8,0,0,0,0,0,0,2,6,1,0,10,Mumbai,122.4,654.6
0,0,1,24,1,10,0,0,0,0,0,0,7,Navi Mumbai,558.0,6000.6
5,11,2,24,3,9,0,0,2,7,0,0,8,New Delhi,1571.55,10372.4
8,2,0,0,3,2,2,5,0,0,0,0,5,Pune,336.0,2971.8
2,4,2,24,1,6,0,0,1,9,1,0,9,Hyderabad,514.8,3143.2
1,3,1,24,2,2,2,1,2,8,0,0,5,Ahmedabad,319.95,1366.24
2,4,0,0,2,8,2,5,1,10,0,0,11,Kolkata,780.0,5250.0
8,0,1,24,0,0,3,6,0,0,1,1,12,Navi Mumbai,184.5,1291.12
1,8,1,24,3,9,3,6,2,7,1,0,12,Gurgaon,1411.8,8956.28
7,1,0,0,0,0,2,1,2,1,1,1,11,Dahej,46.65,142.28
7,9,1,24,0,0,1,4,2,0,1,2,1,Dahej,306.75,1297.6
6,0,1,24,0,0,3,1,2,1,0,0,3,Ratnagiri,119.4,623.85
3,3,0,0,1,7,3,5,2,4,0,0,5,Dahej,389.85,1729.72
3,11,1,24,3,7,1,6,2,4,1,3,12,Gurgaon,1222.35,7611.18
3,15,1,24,3,10,3,4,0,0,1,1,5,Nagpur,1617.75,19989.3
1,14,2,24,1,10,3,6,2,10,0,0,3,Hyderabad,775.5,5489.5
0,0,2,24,2,4,0,0,0,0,1,0,2,New Delhi,576.0,2644.0
